Date,Close,High,Low,Open,Volume
2018-01-10,272.09,272.405,266.03,267.95,382537
2018-01-11,273.62,274.01,270.59,271.94,510107
2018-01-12,276.37,278.33,273.57,274.79,429874
2018-01-15,276.37,276.37,276.37,276.37,0
2018-01-16,258.07,276.0,254.63,276.0,1619139
2018-01-17,258.26,262.15,257.73,260.38,894159
2018-01-18,255.94,259.31,255.58,258.1,543465
2018-01-19,261.82,262.02,255.01,255.01,692298
2018-01-22,261.85,262.09,260.32,262.09,554041
2018-01-23,260.78,262.69,260.25,260.97,430503
2018-01-24,259.49,262.58,257.04,262.45,736558
2018-01-25,252.85,253.02,244.98,252.74,1317875
2018-01-26,261.85,262.75,253.5,253.75,877902
2018-01-29,256.51,261.4,255.5,259.72,904332
2018-01-30,254.59,257.86,254.0,254.0,644310
2018-01-31,256.66,259.94,255.03,255.98,489828
2018-02-01,257.11,257.99,254.37,256.26,281384
2018-02-02,249.91,255.905,249.91,255.13,441101
2018-02-05,238.78,249.5,238.7,247.18,959510
2018-02-06,241.47,242.5,232.75,233.57,1152170
2018-02-07,246.75,249.73,240.08,240.08,828933
2018-02-08,240.6,248.31,240.42,246.08,798941
2018-02-09,240.67,242.77,232.69,242.77,757535
2018-02-12,248.29,249.69,242.11,243.56,594776
2018-02-13,246.26,248.45,243.97,247.11,472207
2018-02-14,250.05,250.72,245.16,246.26,466811
2018-02-15,240.65,250.93,237.05,250.8,1333234
2018-02-16,244.68,246.505,240.5,240.5,563704
2018-02-19,244.68,244.68,244.68,244.68,0
2018-02-20,244.57,249.34,243.69,244.5,495648
2018-02-21,239.59,246.09,239.535,243.77,771456
2018-02-22,238.82,244.465,237.5,241.34,787553
2018-02-23,242.09,242.28,239.16,240.26,551456
2018-02-26,245.66,246.18,241.64,243.02,725349
2018-02-27,242.39,246.545,242.3,245.64,382374
2018-02-28,240.96,245.19,240.76,243.6,520792
2018-03-01,235.35,244.02,235.06,241.06,859054
2018-03-02,232.72,234.65,229.95,232.82,850553
2018-03-05,231.77,233.99,230.8,230.8,802601
2018-03-06,235.09,238.41,231.87,233.7,594418
2018-03-07,235.38,236.09,232.81,233.22,404504
2018-03-08,236.17,237.25,234.09,236.96,381726
2018-03-09,239.19,240.06,235.46,237.26,404006
2018-03-12,238.06,241.48,237.93,239.05,465814
2018-03-13,232.63,237.97,229.9,237.97,885561
2018-03-14,230.33,234.38,229.44,233.22,669535
2018-03-15,228.24,231.03,226.34,230.28,751481
2018-03-16,229.09,230.155,227.7,228.44,539764
2018-03-19,229.85,230.12,227.44,228.0,544643
2018-03-20,227.68,230.83,226.85,230.09,489372
2018-03-21,226.78,229.68,226.61,227.31,305501
2018-03-22,220.37,226.22,220.24,225.73,552578
2018-03-23,215.01,222.93,214.94,220.86,645699
2018-03-26,222.25,222.79,217.15,218.27,645898
2018-03-27,219.12,222.3,218.32,222.3,736599
2018-03-28,221.9,224.12,216.04,219.09,771048
2018-03-29,212.86,222.38,205.6101,220.65,2367818
2018-03-30,212.86,212.86,212.86,212.86,0
2018-04-02,208.0,214.04,207.07,212.85,863338
2018-04-03,206.2,208.3,204.37,208.3,994281
2018-04-04,207.47,207.9,203.665,203.89,840315
2018-04-05,209.93,210.35,207.15,207.51,742246
2018-04-06,205.75,208.57,204.66,207.41,771017
2018-04-09,206.32,208.87,205.745,206.24,602025
2018-04-10,210.45,211.25,207.65,209.16,466599
2018-04-11,205.87,210.16,205.49,208.27,611521
2018-04-12,207.95,209.73,206.33,206.58,624213
2018-04-13,205.98,207.65,204.91,206.78,702700
2018-04-16,210.55,212.2,207.0,207.07,623077
2018-04-17,211.58,213.455,209.81,210.3,628861
2018-04-18,213.61,215.3198,212.13,212.93,901416
2018-04-19,211.66,213.09,202.0,208.25,1927882
2018-04-20,209.32,217.305,209.02,213.99,1234622
2018-04-23,207.79,210.98,205.905,210.31,750426
2018-04-24,205.37,209.79,204.07,209.43,616395
2018-04-25,204.1,205.24,202.64,205.13,724007
2018-04-26,203.96,205.91,203.52,204.87,530492
2018-04-27,204.48,204.94,203.93,204.05,402731
2018-04-30,203.05,204.93,202.44,204.48,818737
2018-05-01,203.3,203.825,201.49,203.0,539935
2018-05-02,199.25,204.39,198.7,203.82,670862
2018-05-03,194.64,199.2999,193.87,197.97,903369
2018-05-04,197.02,197.49,192.02,193.31,618591
2018-05-07,199.1,200.34,197.57,198.2,693262
2018-05-08,201.75,202.69,198.14,199.48,997757
2018-05-09,203.88,205.8,201.75,202.07,853733
2018-05-10,206.67,207.15,203.97,204.14,605521
2018-05-11,208.05,208.72,206.78,206.78,487304
2018-05-14,209.45,210.09,207.98,208.14,927983
2018-05-15,207.86,208.34,202.48,208.0,850868
2018-05-16,209.68,211.57,207.33,207.67,570987
2018-05-17,210.57,211.6099,209.615,209.69,455709
2018-05-18,210.09,211.52,209.84,210.99,437919
2018-05-21,212.69,214.05,210.49,210.9,497384
2018-05-22,212.74,214.05,212.5,213.07,417077
2018-05-23,214.8,214.85,210.54,211.35,584519
2018-05-24,213.9,215.62,212.64,214.89,374461
2018-05-25,213.13,214.81,212.8,214.17,280862
2018-05-28,213.13,213.13,213.13,213.13,0
2018-05-29,209.89,212.47,208.87,212.02,416542
2018-05-30,213.3,213.75,210.53,211.37,371288
2018-05-31,210.82,213.58,209.85,213.58,655970
2018-06-01,209.9,212.98,209.68,211.99,543511
2018-06-04,212.01,212.29,210.39,210.49,346303
2018-06-05,216.07,216.18,211.84,211.84,543768
2018-06-06,222.33,223.05,216.0,216.0,793703
2018-06-07,220.57,223.19,218.85,222.39,463775
2018-06-08,222.38,222.56,219.13,220.09,339955
2018-06-11,222.19,223.325,221.43,223.06,328278
