Date,Close,High,Low,Open,Volume
2018-01-04,130.22,132.96,130.11,132.25,820939
2018-01-05,131.72,132.79,130.51,131.04,807161
2018-01-08,137.45,138.67,133.5801,134.3,1945185
2018-01-09,135.44,137.98,135.01,137.52,1198130
2018-01-10,132.96,135.25,132.29,135.11,884639
2018-01-11,134.69,134.759,132.6,133.3,838380
2018-01-12,133.52,135.81,133.09,135.33,990097
2018-01-15,133.52,133.52,133.52,133.52,0
2018-01-16,128.0,134.87,125.7,134.11,2879578
2018-01-17,126.95,129.45,126.0029,129.2,2016991
2018-01-18,117.91,118.75,112.54,115.2,8622302
2018-01-19,116.01,119.4,115.5,118.9,4275098
2018-01-22,113.53,115.93,113.06,115.78,3648008
2018-01-23,113.0,115.0,112.1201,114.31,2972124
2018-01-24,112.4,114.16,112.04,114.0,2727521
2018-01-25,116.9,116.94,112.66,112.66,2499828
2018-01-26,114.41,117.815,114.01,117.0,1916729
2018-01-29,111.68,114.46,111.31,114.23,2250814
2018-01-30,111.37,113.74,111.05,112.38,2146009
2018-01-31,111.59,112.08,110.25,111.85,2606203
2018-02-01,109.2,111.57,108.96,110.92,1962034
2018-02-02,105.51,109.12,104.92,108.52,2738581
2018-02-05,105.15,109.9,102.85,104.28,3837970
2018-02-06,107.54,108.5199,103.31,103.51,2903894
2018-02-07,106.63,109.48,106.56,107.46,1668253
2018-02-08,105.18,108.7,105.14,106.94,2377485
2018-02-09,107.72,108.71,103.75,106.0,2573841
2018-02-12,111.59,112.15,109.01,109.28,2637077
2018-02-13,108.45,112.6,108.084,111.6,2763450
2018-02-14,111.72,112.16,106.63,107.18,2052269
2018-02-15,114.61,114.65,111.38,112.43,1760152
2018-02-16,112.24,114.59,111.96,114.36,1669248
2018-02-19,112.24,112.24,112.24,112.24,0
2018-02-20,114.58,115.39,112.0,112.0,1431724
2018-02-21,113.01,116.5,112.87,115.35,1775001
2018-02-22,113.68,114.7499,113.155,113.88,1021919
2018-02-23,118.75,118.83,115.61,115.84,2142290
2018-02-26,110.1,114.9,107.12,114.35,7151964
2018-02-27,111.57,113.1,110.56,110.56,2665690
2018-02-28,100.43,112.9,98.93,112.6,6717188
2018-03-01,96.01,101.31,94.7,101.27,7170806
2018-03-02,95.02,95.85,90.49,95.69,5718042
2018-03-05,96.44,97.66,93.5,94.22,2503289
2018-03-06,100.14,100.89,97.79,98.4,3587430
2018-03-07,100.05,100.622,98.58,99.0,1567896
2018-03-08,99.28,101.35,98.65,100.16,1274365
2018-03-09,101.76,102.42,99.08,99.71,1510621
2018-03-12,102.99,103.97,101.6,101.99,1508963
2018-03-13,103.13,104.39,102.55,103.0,1373073
2018-03-14,100.33,104.31,100.1,103.13,1965720
2018-03-15,98.07,100.93,97.85,100.53,1506883
2018-03-16,98.37,98.81,96.5,97.91,2101782
2018-03-19,96.91,98.0,95.812,97.57,1186260
2018-03-20,95.32,96.96,94.0,96.96,3660049
2018-03-21,97.47,98.77,94.61,95.68,1780347
2018-03-22,94.11,97.7,94.05,96.31,1536165
2018-03-23,93.24,95.58,93.03,94.0,1356673
2018-03-26,94.36,95.33,93.14,94.57,1691644
2018-03-27,93.43,95.75,92.81,94.78,1644717
2018-03-28,89.56,93.84,89.282,93.43,2906311
2018-03-29,92.74,93.69,90.05,90.46,2275749
2018-03-30,92.74,92.74,92.74,92.74,0
2018-04-02,88.96,92.45,88.63,92.05,1919757
2018-04-03,90.42,90.65,87.56,89.58,1883826
2018-04-04,91.6,91.64,86.75,87.78,2281030
2018-04-05,95.77,98.49,91.86,92.28,2884327
2018-04-06,91.8,95.62,91.23,94.51,2707922
2018-04-09,91.22,92.77,90.78,92.77,1161478
2018-04-10,92.33,93.63,91.68,92.87,1480307
2018-04-11,93.31,93.99,91.21,91.84,1072775
2018-04-12,93.39,94.09,92.32,93.65,1185371
2018-04-13,95.5,96.44,94.44,96.14,1999271
2018-04-16,96.87,97.5748,94.54,96.45,1415807
2018-04-17,96.63,97.9599,95.84,97.64,1164197
2018-04-18,98.79,99.78,97.0501,97.26,1145685
2018-04-19,98.59,99.7,96.92,99.0,1526433
2018-04-20,97.75,98.315,97.105,98.23,912310
2018-04-23,97.34,98.5,97.03,97.67,804855
2018-04-24,95.78,98.5,94.11,97.85,1328573
2018-04-25,95.46,96.22,94.48,95.8,870795
2018-04-26,96.55,97.31,94.56,95.84,1030419
2018-04-27,96.95,97.66,96.14,96.41,857223
2018-04-30,96.96,98.84,96.71,96.96,1441949
2018-05-01,97.62,97.62,95.66,96.27,1221587
2018-05-02,97.84,99.77,97.56,97.6,1398328
2018-05-03,97.89,99.24,96.51,97.85,1384027
2018-05-04,100.06,100.78,97.5201,97.61,1294627
2018-05-07,100.11,102.38,99.69,100.11,1388214
2018-05-08,100.72,101.39,99.5,100.0,1680616
2018-05-09,101.75,102.769,100.17,101.72,1934866
2018-05-10,98.39,101.89,96.64,101.46,3860677
2018-05-11,98.54,99.03,97.76,98.0,1683234
2018-05-14,99.24,101.13,98.98,99.3,1525206
2018-05-15,100.81,101.75,98.03,99.08,1728376
2018-05-16,102.35,102.9,101.0684,101.15,1545807
2018-05-17,104.8,105.87,102.5,102.62,2770397
2018-05-18,104.92,106.3,104.15,105.0,2305822
2018-05-21,104.07,106.4,103.51,105.5,1853949
2018-05-22,102.34,105.14,102.13,104.54,1034257
2018-05-23,101.84,102.25,100.8,101.34,907212
2018-05-24,95.02,99.97,94.95,99.58,3511210
2018-05-25,94.82,95.31,93.37,94.4,1742042
2018-05-28,94.82,94.82,94.82,94.82,0
2018-05-29,93.03,94.79,92.61,94.58,1612172
2018-05-30,93.59,94.45,93.0,93.59,1238224
2018-05-31,93.47,94.32,93.25,93.56,1210090
2018-06-01,94.26,95.076,93.5,93.5,1242808
2018-06-04,94.44,95.0,93.83,94.57,962280
2018-06-05,94.65,95.335,94.285,94.5,973273
2018-06-06,95.67,95.68,93.95,94.8,1738079
2018-06-07,95.22,96.43,94.69,95.64,887529
2018-06-08,95.37,95.8002,94.64,95.2,1044249
2018-06-11,95.37,96.38,94.63,95.45,815815
